# used to learn how decode() works



RHM decoding: len 10, flags 0, src 0, dst 0
RW decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
RW decoding: len 0, flags 0, src 1, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
NOP decoding: len 0, flags 0, src 0, dst 0
